Date,Open,High,Low,Close,Adj Close,Volume
2004-01-02,41.584999,41.845001,41.259998,41.325001,27.079557,4172800
2004-01-05,41.924999,42.580002,41.855000,42.450001,27.816755,6184200
2004-01-06,42.160000,42.235001,41.599998,41.700001,27.325285,6190400
2004-01-07,41.759998,41.759998,41.154999,41.244999,27.027126,6203200
2004-01-08,41.369999,41.595001,40.875000,40.924999,26.817442,4844400
2004-01-09,40.525002,40.825001,40.099998,40.224998,26.358738,6068600
2004-01-12,40.549999,41.349998,40.529999,41.224998,27.014032,4166200
2004-01-13,41.474998,41.799999,40.485001,41.250000,27.030405,5228200
2004-01-14,41.235001,42.035000,41.235001,41.849998,27.423574,4498000
2004-01-15,42.000000,42.500000,41.294998,41.689999,27.562424,3720600
2004-01-16,42.000000,42.474998,41.830002,42.070000,27.813641,5083400
2004-01-20,41.799999,42.005001,41.075001,41.075001,27.155825,4803400
2004-01-21,41.105000,41.759998,40.720001,41.700001,27.569029,4066600
2004-01-22,41.775002,42.355000,41.564999,42.000000,27.767374,4110800
2004-01-23,42.040001,42.084999,41.575001,42.084999,27.823559,4675200
2004-01-26,41.849998,42.544998,41.334999,42.505001,28.101242,4635000
2004-01-27,42.849998,42.849998,41.000000,41.000000,27.106237,9249000
2004-01-28,40.650002,41.075001,39.599998,39.810001,26.319492,7843000
2004-01-29,40.000000,40.080002,38.375000,38.630001,25.539370,10858000
2004-01-30,38.525002,39.224998,38.505001,39.064999,25.826954,9041400
2004-02-02,39.125000,39.275002,38.615002,38.744999,25.615398,7814400
2004-02-03,38.724998,38.724998,38.209999,38.520000,25.466646,8211000
2004-02-04,38.125000,38.259998,37.884998,37.950001,25.089804,8467000
2004-02-05,37.900002,38.570000,37.639999,38.160000,25.228632,7881000
2004-02-06,38.200001,39.410000,38.200001,39.250000,25.949265,5229600
2004-02-09,39.230000,39.340000,38.759998,38.834999,25.674892,2939600
2004-02-10,38.770000,38.900002,38.075001,38.279999,25.307976,5732600
2004-02-11,38.154999,39.480000,38.009998,39.480000,26.101322,6356600
2004-02-12,39.375000,39.625000,39.084999,39.345001,26.012077,3096400
2004-02-13,39.250000,39.529999,38.650002,38.709999,25.592260,3749000
2004-02-17,39.325001,39.945000,39.250000,39.759998,26.286442,4740000
2004-02-18,39.610001,39.775002,39.134998,39.455002,26.084793,3079400
2004-02-19,39.625000,39.865002,39.240002,39.264999,25.959175,3372800
2004-02-20,39.264999,39.325001,38.044998,38.410000,25.393925,5351200
2004-02-23,38.599998,38.910000,38.279999,38.610001,25.526152,3589400
2004-02-24,38.400002,38.750000,38.180000,38.349998,25.354254,3252200
2004-02-25,38.325001,38.750000,38.084999,38.590000,25.512913,3886600
2004-02-26,38.500000,39.279999,38.430000,38.974998,25.767458,3620400
2004-02-27,38.849998,38.849998,37.849998,37.875000,25.040220,7388200
2004-03-01,38.000000,38.805000,37.924999,38.419998,25.400524,4757800
2004-03-02,38.125000,38.915001,38.060001,38.794998,25.648449,4534200
2004-03-03,38.799999,39.090000,38.619999,38.660000,25.559200,3606200
2004-03-04,38.535000,38.630001,38.259998,38.450001,25.420364,2649800
2004-03-05,38.049999,38.549999,37.974998,38.185001,25.245153,5206000
2004-03-08,38.825001,39.125000,38.445000,38.445000,25.417055,5699200
2004-03-09,38.625000,38.990002,37.985001,38.200001,25.255087,5101800
2004-03-10,38.500000,38.700001,36.685001,36.755001,24.299753,9450400
2004-03-11,36.674999,37.250000,36.255001,36.575001,24.180752,7803400
2004-03-12,36.665001,37.465000,36.505001,37.465000,24.769152,5666600
2004-03-15,37.049999,37.330002,36.825001,36.990002,24.455111,5711600
2004-03-16,37.250000,37.930000,37.125000,37.674999,24.907982,6185200
2004-03-17,37.775002,38.744999,37.750000,38.610001,25.526152,5044400
2004-03-18,38.485001,38.700001,37.775002,38.599998,25.519537,4893400
2004-03-19,38.605000,38.935001,38.105000,38.150002,25.222031,4883800
2004-03-22,37.825001,37.900002,37.435001,37.750000,24.957573,3908200
2004-03-23,37.849998,38.375000,37.740002,37.924999,25.073265,4311800
2004-03-24,37.974998,38.330002,37.790001,38.165001,25.231937,3443600
2004-03-25,38.250000,38.599998,37.974998,38.575001,25.503010,3494400
2004-03-26,38.474998,39.125000,38.224998,38.720001,25.598871,3820000
2004-03-29,39.220001,39.849998,39.220001,39.740002,26.273216,5055400
2004-03-30,39.639999,40.020000,39.105000,40.000000,26.445110,6002400
